gNa,gto,gCaL,gKr,gKs,gK1,"gb,Na","gb,Ca",gKur,INaCa(max),INaK(max),"Ip,Ca(max)",Iup(max),krel,[Cmdn]max,[Trpn]max,[Csqn]max,"tau,tr"
7.7414918119,0.1833184292,0.1401741853,0.0287169326,0.11590363,0.0855129448,0.0008264104,0.0010770151,1.1689913801,1995.8951294107,0.6661507422,0.2109256908,0.0060583754,23.3466442908,0.0436668764,0.0735350528,9.3804160186,155.2887771814
8.6438064093,0.1802930847,0.0984031018,0.0353779094,0.1431442319,0.0936966616,0.0006889888,0.0009297504,1.1755311168,1443.197874886,0.6834677589,0.3155414517,0.0055608712,25.0942126637,0.0401913351,0.05767744,7.8106715495,191.3849819303
5.9608166264,0.1776734267,0.1150248627,0.0251101523,0.1383779995,0.0699925721,0.0005823402,0.0011799606,1.2403650473,1422.629091354,0.6144740787,0.3323739981,0.0061185453,29.7284910502,0.0509538533,0.0665930841,11.9739552258,201.9728598342
6.6687756559,0.1750096955,0.1382548614,0.03463168,0.1164961311,0.0870036101,0.0007049809,0.0012830237,0.9130766987,1700.3391698429,0.7413096512,0.2806915274,0.0061672027,23.8162046978,0.0500191357,0.068596846,12.0929225626,223.0173689124
7.1417873901,0.1988292691,0.1479258874,0.0307181504,0.1258618018,0.0765918839,0.0006686047,0.0013060984,1.0106892808,1855.5716215889,0.5090719177,0.2251164017,0.0038616662,26.526629975,0.0408183005,0.0856544863,9.1985395191,152.3664363436
9.0257505381,0.1412226991,0.1169152705,0.0232831702,0.1506312272,0.0887427557,0.0005613774,0.0010538255,0.9468249402,1379.9880553886,0.5972423264,0.2596900469,0.0053680306,29.0280846876,0.0523985331,0.0793320925,8.7381253069,213.4495996178
6.7854485685,0.184705467,0.1202378308,0.0291643477,0.1245495354,0.0841023311,0.0005550557,0.0011822079,1.1946596617,1735.7556192991,0.6485018029,0.3243207737,0.0043484638,24.9883511002,0.0450047742,0.0849493001,9.741632308,190.3894779698
9.1181594512,0.1311612262,0.1509443965,0.0263587297,0.1175649713,0.092970274,0.0005402827,0.0009931896,1.2119451919,1894.936459466,0.7291070466,0.2110082177,0.0056513039,23.0218086561,0.0416898715,0.0794451138,11.3731211587,222.2279528251
8.1150661978,0.158678894,0.1020007823,0.0273219825,0.1401262952,0.0877836747,0.0005561056,0.0012419538,1.1503456903,1299.8760539567,0.5850614072,0.2860774438,0.0049018864,27.0565989324,0.0624154682,0.0665768113,8.8917342478,162.1666480635
6.7373978594,0.1575707353,0.1294006257,0.0355358441,0.1092569336,0.1094759662,0.0008023971,0.0012853023,0.7679502649,1795.3620031385,0.4542932707,0.2513558695,0.0058317327,25.3587580407,0.0562323214,0.0676896535,7.8529654131,144.9867532849
6.066248013,0.1515710677,0.154574942,0.0236843404,0.127128509,0.0831062707,0.0007254727,0.0010561842,1.1565561338,1975.127035683,0.6105215176,0.254242619,0.0058911452,36.2704506606,0.0410885243,0.0619678172,10.1604128841,188.3592257254
8.5160020987,0.1273710621,0.149299769,0.0330408627,0.1167669728,0.0831914158,0.000827658,0.0010134712,0.9284934487,1813.8217848367,0.5319497062,0.2163462579,0.0044666772,36.1287766924,0.0428965064,0.0534190384,12.2252961947,157.3477595259
6.6338672872,0.1257854888,0.1099699201,0.025489553,0.1090636292,0.0835901648,0.0006372024,0.0009857002,0.7802638988,1476.7630533001,0.6577324105,0.3115394861,0.0050805048,29.1263383014,0.048020149,0.0641247138,8.8324998517,161.0107236369
5.9750064298,0.1529771383,0.1404616276,0.0357087279,0.1366143689,0.0699746235,0.0007522208,0.0011681211,0.927555126,1428.7314405905,0.7491240449,0.2127790288,0.0041712694,34.9018254683,0.0438827903,0.0783985973,11.8457329273,168.7388572412
6.6416021166,0.1253505699,0.129806476,0.0337150148,0.1074879456,0.0948789507,0.0007277229,0.0013307861,0.8716352203,1327.1950641341,0.4829068137,0.2672910024,0.0043923865,37.0627514712,0.039564018,0.07774553,11.8460903785,154.7723898879
8.0579821166,0.1626596853,0.1341275579,0.0249259279,0.1228134472,0.0883260156,0.0005757344,0.001263401,0.8309234247,1722.8017293964,0.5628432149,0.31710376,0.0054765178,30.2542070643,0.0510735594,0.0774006327,8.1452659721,163.2864263123
7.1635719484,0.1476069008,0.1529788411,0.0256511005,0.1031704352,0.0721414178,0.0005081653,0.0010226259,0.8616936803,1946.3143097926,0.6113245667,0.261082881,0.0038643905,34.3156379751,0.0568462764,0.0544456411,9.3366603656,143.4454298502
6.6764890026,0.1570782386,0.1009358047,0.0318752758,0.1246317708,0.0948659826,0.0006689533,0.0014104593,1.0382724793,1518.1219699461,0.4733688533,0.271744586,0.0059155713,36.0836412394,0.0608062893,0.0581759389,10.1389638268,136.727152705
8.8368209348,0.1923310513,0.1256827181,0.0357584003,0.1440321467,0.1025730182,0.0005744773,0.001030331,1.0821653578,1275.5664866565,0.5450808174,0.2705570383,0.0038688581,33.0836740266,0.049716218,0.0841268279,9.7246083948,173.9547818968
9.3487047947,0.1678905838,0.1342585461,0.0259170669,0.1297761371,0.1106019695,0.0007760808,0.001089963,1.1180060661,1360.7984885882,0.7061372394,0.2808935764,0.0062221881,34.5475833087,0.0383739147,0.0760202171,8.1771570136,153.071784785
9.3001693931,0.195756546,0.1235203368,0.0290327752,0.0997096603,0.0912017125,0.0007908839,0.0008730188,1.1970185458,1837.4460989945,0.7010799349,0.30820658,0.0045610406,28.3490597913,0.0505596942,0.0549738724,11.9914922565,191.2135246545
9.0942072283,0.152402615,0.1099856782,0.0315394716,0.1411447113,0.1119070359,0.0006766607,0.0011953279,0.832404524,1494.9826866834,0.5616825758,0.2431889119,0.0043297877,32.2318682508,0.0483954733,0.057991328,7.7165208404,162.6225630723
6.5768330866,0.1254505839,0.134634968,0.0276174573,0.1558680259,0.0688760156,0.0005589697,0.0009685414,0.9034842468,1794.0742690729,0.5566370484,0.2090175527,0.0051220674,23.7696047237,0.0501208326,0.0536394703,12.2194194542,206.8311661383
7.0447280422,0.1867893643,0.1007699269,0.0329436774,0.128193332,0.0814842516,0.0005803236,0.0009820588,0.9660338184,1469.8560436931,0.6999658469,0.3244638577,0.0046261562,23.1002187336,0.0472789935,0.0532043046,8.9466361358,160.500427077
5.9429820496,0.1339459244,0.1478683585,0.0240552152,0.1140516907,0.0844141208,0.0008392484,0.0010344618,1.1759095168,1661.6624809758,0.6686056148,0.2868746958,0.0046672704,37.0877000114,0.0530431897,0.0627017565,10.4013321604,143.780642663
8.7198852493,0.1402840635,0.1392561807,0.0293415495,0.1233414693,0.0864336124,0.0005698781,0.0009853148,0.8341016464,1897.080146112,0.501636847,0.3392456799,0.0047013359,33.3901894435,0.0447696287,0.0765264401,10.5454900982,148.1271035303
9.7182597268,0.1545446535,0.121401118,0.0258618472,0.1069008615,0.1035265986,0.0007602453,0.0013625199,1.0778081759,1777.9499321209,0.7379996585,0.3360137611,0.0051485138,36.1124408676,0.0418217322,0.08103605,11.6334831511,187.952366373
8.7282220854,0.132328197,0.1526957725,0.0274829411,0.1535573689,0.0716567235,0.0006534845,0.0014027348,0.9366956061,1838.6261162403,0.6005178689,0.3419592715,0.004988875,29.9868564144,0.0560849297,0.0798937008,8.5986911186,164.5714200667
7.6684341202,0.1653373613,0.1415000219,0.0233246959,0.1525207332,0.0996821745,0.0007743048,0.0011184034,1.2016807085,1237.1118689229,0.4627076303,0.313085306,0.0060240065,26.8901633319,0.0427727007,0.0652870588,7.6505321516,222.1600554161
5.9045502898,0.1729088127,0.0964534017,0.0323955756,0.1198367423,0.0919954687,0.0008252542,0.0012916878,0.9337349637,1691.1066116426,0.6692193687,0.2081662926,0.0047749515,32.3613504881,0.0571113093,0.0708187984,11.4129022543,165.2789889647
8.9064422173,0.1683638684,0.1454295786,0.0317980614,0.1534846968,0.069502737,0.0006926546,0.0010970718,0.7710463824,1615.0113285316,0.7419953722,0.2122212495,0.0044849585,25.9030327063,0.0544032725,0.073174743,9.5751404413,208.3223158115
8.1106354617,0.1953924276,0.1402608053,0.0257817542,0.152482717,0.0675109168,0.0007826307,0.0012584895,0.7671155578,1806.5638874976,0.6264327283,0.3228030004,0.0053017664,33.9894391577,0.0617375194,0.0578518798,8.0299910289,144.3536318433
8.2268873836,0.137314616,0.0963259059,0.0319867695,0.1120394131,0.1103619837,0.0007869002,0.0013738223,0.8182101809,1245.2130764566,0.7151167841,0.2774757026,0.0048031787,26.7970107933,0.0462421751,0.0863923494,8.1667273429,196.8263473489
7.559733913,0.1819714303,0.1275993348,0.0294675068,0.1586880628,0.0761139568,0.0006640549,0.0012455502,1.2317159498,1673.3975356501,0.5452642027,0.2848671586,0.0046710212,29.2114539161,0.0437603584,0.0816306469,12.1445853555,202.1294541006
9.0626179253,0.1580080135,0.1368822031,0.035039137,0.1019679123,0.084610869,0.0005835134,0.0012064245,1.0676019257,1431.361142474,0.4935565497,0.3186817578,0.0055025483,37.3092002685,0.0418396977,0.0681012152,9.5121196446,139.3718336721
7.5731543653,0.170040926,0.12990604,0.030192699,0.1034853906,0.0866595278,0.0007813098,0.0010385385,0.8599592354,1650.9132271048,0.6382389726,0.2396942312,0.0055719642,24.0385019907,0.0566593546,0.0678255882,8.4884571738,201.11861235
7.9271824837,0.1489317828,0.149998889,0.027885055,0.1242386741,0.1096919481,0.0007412848,0.0011229711,0.7906961294,1323.0103129347,0.6759138602,0.3423719225,0.0040482506,37.1278448996,0.0519111908,0.0751485728,7.5156285393,176.5201924035
8.2754591087,0.1808992926,0.1370659347,0.0361085365,0.09764873,0.0946194718,0.0005671335,0.0012208331,0.7631309035,1977.0453837791,0.5187810305,0.2490005511,0.0051936024,24.9839162368,0.0425150316,0.0754499312,12.1019283044,135.1638151244
6.2504976968,0.1416417564,0.1326959836,0.0229221596,0.1296945813,0.0933437688,0.0005063794,0.0012604002,0.9231198654,1553.8203332788,0.4701839431,0.264677533,0.0062027843,27.7975434729,0.0530275424,0.0814440976,10.6997160695,223.4783207195
6.6835407951,0.1888789071,0.0950156985,0.030755408,0.1491923849,0.0815058804,0.0008335385,0.0011290577,1.0277149298,1773.4129124268,0.455253615,0.3351385238,0.0053295737,30.471812832,0.04467138,0.0700582684,10.462664936,163.8729678007
9.7426327209,0.1879614563,0.1238090554,0.0325254464,0.1532187596,0.0840458918,0.000529048,0.0009238776,1.1773161236,1728.0331080679,0.7464628668,0.3434130506,0.0045240307,24.5733311194,0.0515045611,0.083731567,9.5791165427,174.8492650166
6.6650494775,0.1915705955,0.1510116743,0.0303620372,0.1337936102,0.0963874941,0.000562525,0.0011076573,0.8248571145,1572.2632913699,0.6626615361,0.3195828899,0.0051662891,37.3769165436,0.0418066779,0.0836196881,11.9398820903,162.7317482741
9.0388001995,0.1536335664,0.1146885787,0.0220630043,0.1237747109,0.1070557006,0.0007539068,0.0008871885,0.7994840029,1963.3477999243,0.5186773817,0.2814289723,0.0039956975,30.8686661033,0.0594978445,0.0684215753,10.770935947,144.8821673555
7.8261225819,0.1344923015,0.1079022643,0.0276273834,0.1271901751,0.0766519936,0.0005658563,0.0011962252,1.052483495,1984.6060120672,0.5531831895,0.2097463382,0.0046619799,26.3870334961,0.047631763,0.0766618081,10.3697539012,174.4081336921
7.5271098863,0.1288952944,0.105000761,0.0311320562,0.1393941768,0.0822774236,0.0005248479,0.0011631412,0.7773849871,1915.2602536075,0.4963796857,0.277357306,0.0046906332,26.1174235298,0.0397091535,0.0564125304,8.7781907114,203.331738891
7.426890646,0.1598639817,0.1077835491,0.02351485,0.1116600504,0.0926577584,0.0005286538,0.0010915415,0.8872357468,1952.1515461595,0.5578891171,0.287997009,0.0047491087,27.0078991031,0.0615455963,0.0621162204,7.8441799698,140.5972278181
8.5780800015,0.160914704,0.0991023475,0.0347733172,0.1104959107,0.1044458034,0.0006013737,0.0014047693,0.951525465,1450.9116489211,0.6277538691,0.2451787064,0.0054853211,34.4875235556,0.0455809378,0.0601164645,9.3209605883,223.2194970896
