PCa,Jup,[TRPN],Gncx,"INaCa,SS",CaMKo,[BSL],aCaMK,bCaMK,"tau,diffCa","Tref,v","TRPN50,v","nTm,v","nTRPN,v","kTRPN,v","rs,v","rw,v","Aeff,v","ku,v","beta1,v","beta0,v","gamma,s,v","gamma,w,v","phi,v","ca50,v","nu,v","mu,v"
0.000136645,1.46602,0.092231,0.00277464,0.561064,0.0364331,1.05781,0.0533504,0.000442615,0.17957,119.036,0.493093,2.9466,1.65485,0.116113,0.232904,0.425506,33.2112,0.0189053,-3.52598,3.18048,0.00903194,0.414838,1.11982,1.08743,5.81284,4.08186
9.90393e-05,1.23605,0.098614,0.00109372,0.651608,0.0464165,0.634045,0.0507944,0.000849962,0.114928,66.2343,0.230787,1.86495,2.35514,0.134222,0.340288,0.633584,35.0225,0.0265126,-2.54272,1.85118,0.00670118,0.616664,1.4087,1.07838,4.21329,3.29434
0.000114242,1.10283,0.0970931,0.00105388,0.541054,0.0504962,1.46552,0.0331563,0.00101295,0.281895,121.139,0.367187,2.75256,2.8619,0.127188,0.358962,0.693652,14.2527,0.0170902,-3.08057,2.47834,0.00568559,0.412913,2.05044,1.14155,7.38406,3.36003
0.000139686,0.887093,0.0846281,0.00215034,0.277687,0.029702,1.25676,0.0533396,0.000623078,0.295369,61.3283,0.515299,1.75631,2.34313,0.0721237,0.328328,0.534652,35.5377,0.0105967,-1.67145,1.89476,0.0111508,0.440549,1.38155,0.636009,3.56064,2.08741
0.000117869,0.702928,0.091305,0.00120668,0.712221,0.069689,0.792729,0.0449797,0.000730234,0.253542,76.2842,0.517628,2.05861,2.29172,0.0701711,0.306644,0.476856,35.3704,0.027764,-1.22554,2.83386,0.0119935,0.538908,3.0257,0.883446,5.84952,3.79508
4.20269e-05,1.07444,0.0486841,0.0012848,0.561634,0.0301479,1.4063,0.0259882,0.000702068,0.109105,91.9135,0.323915,2.09752,2.44913,0.0834393,0.278044,0.634091,20.0311,0.0193726,-2.61932,1.35558,0.0104949,0.884191,1.37711,0.724592,6.35371,1.63422
0.000113081,0.859,0.0847098,0.00176224,0.320523,0.0643353,1.26785,0.0631814,0.000769187,0.200437,62.3407,0.274752,1.48609,2.53327,0.0916295,0.287206,0.598215,22.7153,0.0259411,-2.74676,2.71519,0.00445822,0.709144,3.0718,0.840084,6.08717,2.14599
0.000140541,1.15474,0.0687281,0.00240595,0.421786,0.0254143,1.23594,0.0417235,0.000514683,0.232427,74.4359,0.323737,1.81086,2.82373,0.0906974,0.304056,0.494707,23.636,0.0172166,-2.08574,3.22082,0.0051054,0.743634,2.38346,1.10589,9.03118,3.88614
0.000122429,1.03194,0.0789613,0.0020775,0.809948,0.0277924,0.587837,0.0411791,0.00061667,0.261662,98.7995,0.321094,1.13446,2.82906,0.0853117,0.1543,0.610015,26.0737,0.0238655,-2.54921,1.24948,0.00971018,0.754012,2.34525,1.13261,6.29972,2.33219
0.000106238,1.19379,0.071221,0.00159599,0.512435,0.0398772,1.199,0.0340199,0.000572017,0.24387,99.9589,0.23333,2.27551,2.59572,0.129011,0.27023,0.511031,29.6867,0.0310783,-3.00387,1.82898,0.00821617,0.698618,3.03865,0.808809,8.19361,1.91518
9.80624e-05,1.23862,0.0723787,0.00201299,0.314658,0.0492239,1.23945,0.0391959,0.000939708,0.289119,115.326,0.433587,1.90568,2.25064,0.13266,0.280586,0.289465,26.5335,0.0121793,-1.87633,2.14184,0.00444535,0.901392,2.97703,0.878732,9.15334,2.78232
9.01241e-05,0.871796,0.0736947,0.00147862,0.298903,0.0302574,1.31085,0.0630636,0.000504728,0.20332,94.0467,0.347013,3.04593,2.82353,0.104711,0.133644,0.602891,34.4494,0.0109982,-1.57775,2.76444,0.00846427,0.603649,2.73368,0.673017,3.78478,2.38438
4.81428e-05,1.34088,0.0909531,0.00170558,0.473624,0.0430331,0.880841,0.0422688,0.000797443,0.127169,85.1966,0.481716,2.01051,2.58018,0.111443,0.271568,0.354935,15.954,0.0134933,-2.33738,2.1795,0.0103726,0.685331,2.01719,0.691544,4.79705,3.02467
0.000111214,1.27043,0.0660126,0.00183784,0.729112,0.0287142,0.790785,0.0464739,0.000669673,0.130577,111.56,0.499891,1.62226,2.19402,0.0857085,0.165095,0.376897,18.3405,0.0208358,-1.75379,2.14047,0.00615109,0.611824,2.47487,0.996421,9.2977,2.29261
0.000103107,1.44629,0.0733731,0.00188799,0.20787,0.0438309,1.25173,0.0512776,0.000816577,0.131712,109.971,0.367656,2.26525,2.31031,0.0750565,0.324488,0.742142,22.4206,0.0292551,-2.71896,2.37562,0.00808395,0.703097,2.51397,1.13521,8.4014,2.35019
0.000119893,1.36779,0.0855009,0.00359996,0.512959,0.0292202,0.770492,0.0602963,0.000933302,0.149271,136.94,0.194911,2.47747,1.7876,0.130571,0.194357,0.660061,26.6206,0.0174372,-2.71215,1.16723,0.00482984,0.609477,2.61351,0.996893,9.57052,3.25996
7.91076e-05,1.46062,0.0759087,0.00131168,0.685959,0.0348346,1.35799,0.0696409,0.000740065,0.148124,111.68,0.217379,1.82635,2.68986,0.0869789,0.287734,0.572994,30.2244,0.0227549,-1.53361,2.84324,0.00789121,0.402676,2.12855,0.878994,6.74558,4.26026
0.000125482,0.968016,0.0833495,0.00154957,0.353854,0.0449299,0.669928,0.0486811,0.000696463,0.238174,109.791,0.211446,2.10645,1.8564,0.119625,0.256031,0.56252,23.32,0.0247356,-1.88294,1.89284,0.0105158,0.816614,2.0155,1.08745,4.08946,2.56392
0.000111342,1.03895,0.0734978,0.00154266,0.654928,0.0474506,0.968131,0.0465843,0.000943625,0.25365,61.6493,0.341491,2.34137,2.23158,0.104423,0.230662,0.609359,23.4713,0.0162268,-1.68656,3.19382,0.00658687,0.773529,1.37366,1.10585,6.6498,3.86035
7.46437e-05,1.12123,0.0497162,0.0013235,0.484791,0.027517,1.24283,0.0331608,0.000373686,0.149401,98.6314,0.287628,1.73171,2.20354,0.0911682,0.22524,0.622058,21.6085,0.0230977,-2.47632,3.11833,0.00547761,0.345971,2.51362,1.17037,6.38384,3.59227
0.000141333,1.29497,0.0800561,0.00225212,0.347469,0.04404,0.94424,0.0327754,0.000797739,0.124734,87.8282,0.344927,1.64959,2.94157,0.117667,0.335477,0.297547,13.8166,0.0143955,-2.44132,3.23623,0.00947896,0.609625,2.02312,0.8471,6.60793,2.12585
0.000132669,1.41124,0.0884364,0.00282135,0.782312,0.0616986,0.902203,0.0369549,0.000586618,0.124687,102.672,0.211963,2.64029,2.04538,0.127431,0.220007,0.475036,33.5914,0.0181778,-1.30562,1.41821,0.0120049,0.845363,1.20112,1.08032,9.679,3.87365
4.89931e-05,1.28376,0.0793061,0.000892989,0.642033,0.0357376,1.16722,0.0657481,0.000586794,0.115445,90.6287,0.520317,1.64758,2.09944,0.113979,0.227486,0.515737,14.2693,0.0275989,-3.31662,2.27118,0.00593837,0.742664,2.19287,0.813957,5.61031,3.6389
0.000140074,0.912661,0.103593,0.00162894,0.572657,0.0611653,1.2733,0.0434036,0.000682402,0.252141,142.892,0.374201,2.77662,2.1507,0.134951,0.276359,0.530608,24.6547,0.030402,-2.87209,2.4159,0.01039,0.675888,2.99717,0.955436,5.82591,2.06282
9.09516e-05,1.16373,0.0859757,0.00194654,0.448548,0.0444173,1.3849,0.0615512,0.000679337,0.158408,152.455,0.287011,2.55795,2.6876,0.124808,0.215577,0.273712,27.2672,0.0258265,-2.62373,1.35434,0.00990089,0.651306,2.14206,1.06042,4.78954,3.65246
0.000116097,0.980445,0.104278,0.00122747,0.427096,0.0368467,0.795371,0.0692377,0.000726403,0.285044,79.5067,0.458181,2.40869,2.39743,0.0781774,0.126376,0.316644,22.4387,0.0164737,-3.40654,3.30351,0.00714764,0.730035,3.31044,0.765578,7.25879,3.1426
7.47691e-05,1.29226,0.0959367,0.00124975,0.372113,0.0517887,0.57441,0.0477583,0.000514194,0.145092,168.903,0.287494,2.31269,1.9735,0.138175,0.334959,0.386569,22.4121,0.0212187,-2.15613,2.13769,0.0106096,0.600008,1.13225,0.971022,6.23881,1.56575
0.000127009,1.34079,0.0863105,0.00410168,0.298494,0.0395918,1.28972,0.0592627,0.000911576,0.178148,85.162,0.357557,2.05999,1.78292,0.14839,0.144167,0.64709,27.4094,0.0136145,-2.31792,1.20772,0.00759902,0.387298,2.69175,1.02389,3.62465,4.39012
9.43376e-05,0.929586,0.0855393,0.00151027,0.856436,0.0419701,0.772759,0.0263757,0.000823306,0.283253,131.077,0.21594,2.44192,2.09753,0.114309,0.169823,0.399708,28.5365,0.0114648,-1.61854,2.96815,0.00801357,0.45454,1.61209,1.09973,7.3934,2.80558
8.06993e-05,1.30278,0.0986938,0.0018827,0.359901,0.0449408,0.706478,0.0501736,0.000572766,0.198851,80.5342,0.465468,2.85708,2.07271,0.0655552,0.155804,0.376554,17.9357,0.0143451,-1.72993,1.97694,0.0111949,0.838356,3.26863,0.546314,8.8352,3.29635
9.03097e-05,0.944152,0.0870232,0.00130296,0.537682,0.0403974,1.0529,0.036421,0.000914194,0.116398,141.996,0.377694,2.63541,2.16844,0.0652423,0.329895,0.493965,18.7742,0.0197871,-1.45282,2.38283,0.00559333,0.648075,2.01543,0.713475,6.11926,2.0402
0.000106585,1.40697,0.104055,0.00177603,0.85351,0.0651751,1.44507,0.0404272,0.000645268,0.279012,165.526,0.280727,1.68725,1.9919,0.0646749,0.171016,0.582125,28.1647,0.0209576,-1.5057,2.73318,0.00802118,0.632189,1.89761,1.11555,9.76061,1.73995
4.89798e-05,1.00539,0.0382578,0.00108944,0.412203,0.0477221,0.881855,0.0298846,0.000722259,0.169538,120.492,0.339749,2.48821,2.50148,0.147898,0.332157,0.454926,20.6704,0.0286711,-2.12717,2.78791,0.0116065,0.597814,1.91366,0.755976,10.4525,1.78754
0.000129076,0.949379,0.0910283,0.00159969,0.504719,0.0419409,1.42635,0.0370142,0.000970446,0.214344,138.666,0.238086,2.38195,2.21577,0.143059,0.312194,0.597057,36.3978,0.0257438,-2.00183,2.18334,0.00612448,0.595397,2.90042,0.766461,4.52164,2.62493
0.000124856,0.82749,0.100601,0.00180897,0.203818,0.0651593,1.20808,0.0726017,0.000727842,0.161666,178.063,0.465746,2.401,2.45412,0.101749,0.147215,0.639595,28.1787,0.0106177,-1.40791,2.00147,0.00446608,0.823683,2.56705,0.872142,8.40795,3.34392
0.000118123,0.80848,0.0994418,0.0014826,0.264188,0.0704694,1.45684,0.0346368,0.000438786,0.264265,109.623,0.352071,2.05279,2.59768,0.0985543,0.289122,0.275269,26.6287,0.0124402,-2.59713,2.44152,0.00785111,0.673751,1.62151,0.918558,6.44192,3.29094
0.000133519,1.02301,0.0721018,0.00268862,0.275539,0.0583488,0.634843,0.0464296,0.000806079,0.2682,88.5124,0.41839,1.36337,2.54591,0.0520072,0.217261,0.45887,31.5443,0.0219956,-2.18087,2.01263,0.0121247,0.333941,1.62209,0.747563,3.53472,3.1889
0.000137122,0.933549,0.087311,0.0015053,0.256532,0.0293334,0.654732,0.0481007,0.000444531,0.254656,87.5,0.427054,3.04667,2.53719,0.103338,0.132649,0.43359,35.818,0.0198454,-1.99356,2.93054,0.00944382,0.555799,1.43918,1.16325,8.22502,2.86154
7.6403e-05,0.837022,0.0855792,0.00179345,0.570017,0.0610816,0.800114,0.0358057,0.000768564,0.152416,154.7,0.416807,2.56638,1.79516,0.0785001,0.255791,0.348446,13.8721,0.0311151,-2.72186,2.84171,0.00825272,0.66116,3.2984,0.787678,9.34902,3.73946
8.52462e-05,0.637512,0.0479842,0.00153055,0.263227,0.0327065,1.533,0.0549223,0.000910269,0.112241,61.2406,0.211213,2.17525,1.85035,0.110473,0.247897,0.717809,22.9152,0.0312666,-2.02212,1.69848,0.0127358,0.43958,2.77681,1.1266,9.35813,3.74877
5.11648e-05,1.37027,0.070437,0.00176233,0.510407,0.0552085,0.581555,0.027242,0.000890435,0.271013,153.156,0.449008,2.49807,1.19957,0.0504183,0.224498,0.55482,32.0645,0.0140921,-2.15455,2.59787,0.00836837,0.77612,2.55335,1.05221,9.41455,2.48911
0.000127662,0.523599,0.0833686,0.00151665,0.237547,0.0592135,1.28897,0.0353351,0.000432917,0.201312,68.2442,0.492944,2.05454,2.26095,0.0789566,0.180453,0.593321,16.4868,0.0120047,-2.04088,2.54063,0.0101468,0.596043,2.43512,0.984456,4.72307,1.50615
0.000120271,1.25305,0.0609625,0.00255187,0.524807,0.0348091,0.815926,0.0641734,0.000855409,0.153459,79.4611,0.477781,2.33038,2.53774,0.123105,0.150678,0.476418,37.0265,0.0293617,-2.30492,1.82485,0.00893826,0.717779,2.04682,0.878968,9.41158,1.59567
0.000137404,1.46773,0.0497512,0.00251249,0.598022,0.0259636,1.6001,0.0312402,0.000814831,0.208078,78.1421,0.499533,2.04486,2.43078,0.134354,0.310755,0.623012,18.0629,0.0171246,-1.53642,2.9951,0.00459796,0.677631,1.96531,0.513089,10.3243,4.12337
0.000125007,1.3251,0.0809541,0.00186085,0.277576,0.035768,1.22279,0.0447786,0.00049979,0.172765,140.697,0.203084,2.74685,2.2378,0.0504465,0.35725,0.647581,14.8572,0.0258813,-2.84304,3.28126,0.0109341,0.432528,1.25486,0.948185,8.74575,2.77151
0.000139203,1.49365,0.0903115,0.00274801,0.533852,0.0387807,1.6163,0.0335572,0.000448202,0.192768,168.973,0.479576,2.03773,2.61423,0.101065,0.202881,0.579954,20.4552,0.0249297,-2.21897,1.26394,0.00587204,0.631693,2.54079,0.946126,7.17035,2.43911
8.06702e-05,1.428,0.0733725,0.00144343,0.91713,0.0252259,1.15914,0.0670033,0.000410735,0.177938,147.619,0.493602,2.55992,2.93986,0.0951499,0.222411,0.265703,28.1259,0.0212667,-2.65581,2.25982,0.0115904,0.676412,2.77958,1.17946,5.52105,3.82922
8.07704e-05,0.954698,0.0897012,0.00122047,0.7059,0.0467602,0.647163,0.0287421,0.000521128,0.266063,120.391,0.334502,1.67457,2.47952,0.112503,0.133077,0.710667,17.6913,0.0303836,-1.58587,2.931,0.00791383,0.612147,2.42052,0.700633,4.77365,2.28691
0.000103733,0.694354,0.0873833,0.00106199,0.302603,0.0339308,1.49911,0.0673215,0.000780511,0.293646,130.013,0.448839,2.96785,2.28913,0.102534,0.254509,0.251802,25.6181,0.0239367,-1.41956,3.10076,0.0117347,0.390781,2.40639,0.867549,6.12456,2.77831
0.000106144,1.06981,0.0780408,0.00175273,0.708979,0.0440356,0.781108,0.0406361,0.000716971,0.238241,79.5803,0.39965,2.40558,2.71972,0.0906324,0.202469,0.738314,14.317,0.0227087,-3.38306,1.3474,0.0109358,0.906919,3.05765,0.900725,6.01231,2.80166
8.92607e-05,1.01655,0.0963292,0.00138663,0.318813,0.0386666,0.796384,0.0721991,0.000985412,0.124576,166.386,0.288141,2.52705,2.85208,0.11708,0.221454,0.47244,34.5542,0.0198438,-2.14537,2.10875,0.00845055,0.654395,1.77948,0.694316,9.02055,3.87207
0.000121961,0.838132,0.0935068,0.00129506,0.369142,0.0383231,1.38155,0.0422257,0.000784339,0.21761,74.2555,0.298568,1.29542,2.85931,0.0804262,0.205022,0.54847,17.9223,0.0240032,-2.06454,2.60823,0.0115288,0.747898,1.22511,1.08144,9.33654,3.85903
0.000119755,1.31331,0.0950943,0.00253824,0.74597,0.0636357,1.30888,0.0391647,0.00052744,0.179205,132.42,0.430528,2.10638,2.83627,0.148167,0.196687,0.327042,24.8197,0.0145083,-2.26367,2.7265,0.00962261,0.61334,1.22297,1.1966,3.56234,3.28373
0.000113121,0.860329,0.101256,0.00102368,0.35503,0.060173,1.62971,0.0382898,0.000421612,0.272063,178.894,0.362259,2.33189,2.63856,0.0578715,0.1656,0.498321,15.0856,0.0308601,-2.77801,2.53171,0.00764761,0.693474,2.41188,0.938086,7.31307,4.21708
0.000139136,1.35052,0.0728117,0.00209256,0.919478,0.0393416,1.1223,0.0314484,0.000667995,0.148855,85.5723,0.371136,3.00164,1.47982,0.0984267,0.281242,0.460313,27.7528,0.0303615,-1.65485,2.58215,0.00955939,0.834033,3.21688,1.10168,9.16846,3.12887
0.000140272,1.39593,0.0907617,0.00224464,0.955803,0.0409255,0.946871,0.0456789,0.000823857,0.129189,162.191,0.397142,2.20872,2.55032,0.0943714,0.287178,0.634608,31.6521,0.0192332,-2.47295,1.28737,0.0126746,0.572968,2.61367,0.844893,6.83693,4.45552
4.70708e-05,0.85234,0.0428111,0.000954134,0.495779,0.0478151,1.18731,0.0439139,0.000822575,0.224528,85.5217,0.409881,1.76376,1.79642,0.0641253,0.250416,0.392352,13.7792,0.0269772,-2.97679,2.65654,0.00907163,0.838132,1.28839,1.12657,6.59364,1.97124
0.000105768,0.871766,0.091648,0.00158054,0.253829,0.0327899,1.59005,0.0558185,0.000480956,0.131954,174.79,0.508294,1.51793,1.89301,0.147419,0.133556,0.350889,36.3857,0.0250923,-1.40225,1.55116,0.00957383,0.60783,2.33751,1.01739,4.09972,3.14014
0.000100765,1.09606,0.0615428,0.001483,0.495267,0.0292039,1.42128,0.0540402,0.00095533,0.204145,70.1799,0.230394,3.05265,2.50388,0.110686,0.127378,0.485994,20.7414,0.0114583,-1.90427,3.43156,0.0127004,0.572774,2.53005,0.788467,6.73141,2.67524
0.00010036,1.34692,0.0917142,0.0019576,0.806367,0.0443005,1.20826,0.0447579,0.000649372,0.178925,95.0441,0.377455,2.09989,2.46907,0.137186,0.233061,0.456465,23.9683,0.0257208,-1.2381,2.79229,0.0123484,0.568148,2.88426,0.546151,8.74866,2.65198
0.000139055,0.670492,0.0849622,0.00228545,0.28006,0.0667808,0.772416,0.0463631,0.000975375,0.100547,109.071,0.453792,2.64874,1.48705,0.123298,0.252024,0.42426,14.5074,0.0170309,-3.01707,1.85294,0.00444344,0.776341,3.285,1.05414,10.4834,3.99938
0.000122646,1.32589,0.0646304,0.00211325,0.718672,0.0359619,1.65704,0.0563022,0.000553234,0.123536,110.765,0.482399,2.04605,2.92107,0.0615814,0.296997,0.655978,33.8237,0.0260756,-2.72745,2.32328,0.0109648,0.503307,2.66829,0.876055,6.10411,4.04226
0.000107609,0.641167,0.0714068,0.00126272,0.528951,0.0587432,1.13512,0.0321223,0.000430257,0.164833,152.194,0.315735,1.2996,2.75723,0.0915496,0.266963,0.579496,14.7268,0.0118997,-2.85185,2.48057,0.0120783,0.622753,2.11839,0.870478,3.99534,3.20153
0.000110734,1.0412,0.088263,0.00228265,0.626189,0.0328465,1.15903,0.0524939,0.000948956,0.151037,179.006,0.302187,2.70737,2.41144,0.094113,0.226032,0.271745,31.9678,0.0237213,-3.00268,1.36045,0.00922112,0.416301,2.5139,1.06696,9.93502,3.25693
0.000117011,0.828939,0.100785,0.00146103,0.628887,0.0564049,1.36957,0.0491816,0.000838212,0.23223,74.8853,0.459525,2.31935,1.93042,0.113526,0.1554,0.627345,35.8515,0.0183388,-2.72614,1.41342,0.0073022,0.817275,2.37675,0.954522,7.73818,4.18699
8.01888e-05,1.38614,0.078059,0.00270107,0.281655,0.0520736,0.925413,0.0422931,0.000528275,0.192291,112.674,0.507623,1.81085,2.63645,0.0698843,0.165984,0.403262,31.9999,0.0161402,-3.2224,2.26268,0.00713885,0.584322,2.45055,1.14378,8.07169,3.75108
7.54739e-05,1.42017,0.084752,0.00122886,0.96557,0.0354148,0.632652,0.0483176,0.000775555,0.258325,165.665,0.206144,2.16444,2.84383,0.0715419,0.349375,0.461824,15.9356,0.0180964,-2.2651,1.56235,0.00440108,0.413116,2.02106,0.920682,3.61885,4.1728
9.42411e-05,1.19331,0.086718,0.00168816,0.943795,0.0574212,1.1647,0.0340029,0.000497104,0.162207,71.979,0.379847,2.22533,1.91367,0.0581324,0.316592,0.464931,22.1225,0.0131697,-1.75897,1.60207,0.012389,0.919269,1.46005,0.724604,7.71841,1.746
0.000118329,1.37314,0.102245,0.00158635,0.334318,0.0721012,1.04386,0.0514706,0.00082791,0.231705,98.9809,0.37433,2.26695,2.62198,0.146437,0.28354,0.446443,28.5116,0.0278821,-2.21913,2.0804,0.00523951,0.597759,1.50853,0.935994,5.24744,3.04091
7.28706e-05,1.3354,0.05355,0.00244093,0.256755,0.0487822,1.16136,0.0395614,0.00093827,0.146076,149.0,0.181152,2.29609,2.5195,0.100636,0.289577,0.335878,14.2799,0.0164224,-1.54613,3.01973,0.0057219,0.439873,2.93952,1.15206,3.60377,3.27107
0.000132389,1.46536,0.0703136,0.00221413,0.732111,0.0328441,1.28615,0.0328219,0.000752162,0.242427,122.886,0.321376,1.97912,1.54135,0.144701,0.142436,0.394979,36.1785,0.011203,-1.60245,2.91453,0.0106305,0.622092,1.85854,1.12225,6.64429,3.72704
0.000114955,1.07814,0.0917425,0.00201805,0.786347,0.056597,1.55839,0.0281704,0.000510164,0.137443,131.249,0.242094,2.40532,2.31952,0.106791,0.208088,0.574301,13.184,0.0270648,-2.70552,1.99568,0.00485147,0.433988,1.27359,0.796956,8.30833,3.09657
3.84783e-05,1.37118,0.0500664,0.00128388,0.575791,0.0659739,0.604148,0.0303516,0.000931992,0.141442,152.107,0.179905,2.41529,2.56339,0.0589818,0.316251,0.330354,19.8958,0.0168178,-3.14055,3.18949,0.0095941,0.83181,1.83286,0.728793,6.72356,3.0637
0.000125072,1.38903,0.0909492,0.00222783,0.897433,0.0722087,1.19864,0.0269576,0.000746347,0.268718,161.083,0.197631,2.17328,2.38648,0.130604,0.155437,0.689116,23.1093,0.0289167,-1.80978,3.37792,0.00441032,0.532852,3.14383,1.16892,7.84243,4.08376
